127.0.0.1 - - [22/Aug/2019:22:57:45 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Aug/2019:22:57:47 +0530] "GET /notes/todo-demo.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [22/Aug/2019:22:57:56 +0530] "GET /notes/todo-demo.jsp?theItem=gui HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:24:19 +0530] "GET /notes/todo-demo.jsp?theItem=gui HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:24:49 +0530] "GET /notes/todo-demo.jsp?theItem=gui HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:24:59 +0530] "GET /notes/todo-demo.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:25:01 +0530] "GET /notes/todo-demo.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:25:02 +0530] "GET /notes/todo-demo.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:25:17 +0530] "GET /notes/todo-demo.jsp?theItem=tyhh HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:25:23 +0530] "GET /notes/todo-demo.jsp?theItem=jkk HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:25:44 +0530] "GET /notes/todo-demo.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:25:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:25:52 +0530] "GET /notes/todo-demo.jsp?theItem=vvhh HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:25:53 +0530] "GET /notes/todo-demo.jsp?theItem= HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:26:03 +0530] "GET /notes/todo-demo.jsp?theItem=vhyjh HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:26:09 +0530] "GET /notes/todo-demo.jsp?theItem=vhnfuhv HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:26:11 +0530] "GET /notes/todo-demo.jsp?theItem= HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:26:21 +0530] "GET /notes/todo-demo.jsp?theItem= HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [22/Aug/2019:23:26:23 +0530] "GET /notes/todo-demo.jsp?theItem= HTTP/1.1" 200 311
